,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,15.582,94.41997,99.32879,96.87438
,,15.573,94.4195,99.33037,96.87494
,,15.563,94.41908,99.33191,96.8755
,,15.553,94.41872,99.33341,96.87606
,,15.543,94.4184,99.33486,96.87663
,,15.533,94.41814,99.33628,96.87721
,,15.523,94.41792,99.33765,96.87779
,,15.513,94.41776,99.33898,96.87837
,,15.503,94.41765,99.34027,96.87896
,,15.493,94.41759,99.34152,96.87956
,,15.483,94.41759,99.34273,96.88016
,,15.473,94.41763,99.34389,96.88076
,,15.463,94.41773,99.34502,96.88137
,,15.453,94.41787,99.3461,96.88199
,,15.443,94.41807,99.34714,96.88261
,,15.433,94.41832,99.34814,96.88323
,,15.423,94.41862,99.3491,96.88386
,,15.413,94.41897,99.35002,96.8845
,,15.402,94.41938,99.3509,96.88514
,,15.392,94.41983,99.35173,96.88578
,,15.382,94.42034,99.35252,96.88643
,,15.373,94.42086,99.35323,96.88705
,,15.363,94.42147,99.35395,96.88771
,,15.353,94.42212,99.35462,96.88837
,,15.343,94.42283,99.35525,96.88904
,,15.332,94.42358,99.35583,96.88971
,,15.322,94.42439,99.35638,96.89039
,,15.313,94.4252,99.35686,96.89103
,,15.303,94.42611,99.35732,96.89171
,,15.293,94.42706,99.35775,96.89241
,,15.282,94.42807,99.35813,96.8931
,,15.273,94.42907,99.35845,96.89376
,,15.263,94.43017,99.35875,96.89446
,,15.253,94.43133,99.35902,96.89517
,,15.242,94.43254,99.35923,96.89588
,,15.233,94.43372,99.3594,96.89656
,,15.223,94.43502,99.35954,96.89728
,,15.213,94.43638,99.35964,96.89801
,,15.202,94.43778,99.3597,96.89874
,,15.193,94.43915,99.35971,96.89943
,,15.183,94.44065,99.35969,96.90017
,,15.172,94.4422,99.35962,96.90091
,,15.163,94.44371,99.35952,96.90162
,,15.153,94.44536,99.35937,96.90237
,,15.143,94.44696,99.3592,96.90308
,,15.133,94.4487,99.35897,96.90384
,,15.123,94.4505,99.35871,96.9046
,,15.113,94.45223,99.35842,96.90532
,,15.103,94.45412,99.35807,96.90609
,,15.093,94.45595,99.3577,96.90683
,,15.083,94.45793,99.35728,96.9076
,,15.072,94.45996,99.35681,96.90839
,,15.063,94.46193,99.35633,96.90913
,,15.053,94.46405,99.35578,96.90992
,,15.043,94.46611,99.35523,96.91067
,,15.033,94.46833,99.3546,96.91146
,,15.023,94.47047,99.35397,96.91222
,,15.013,94.47278,99.35327,96.91302
,,15.003,94.47501,99.35256,96.91379
,,14.993,94.47742,99.35178,96.9146
,,14.983,94.47974,99.351,96.91537
,,14.973,94.48224,99.35014,96.91619
,,14.963,94.48464,99.34929,96.91696
,,14.953,94.48709,99.3484,96.91774
,,14.943,94.48973,99.34742,96.91857
,,14.933,94.49226,99.34646,96.91936
,,14.923,94.49499,99.3454,96.92019
,,14.913,94.49761,99.34436,96.92099
,,14.903,94.50027,99.34329,96.92178
,,14.893,94.50313,99.34212,96.92263
,,14.883,94.50588,99.34097,96.92343
,,14.873,94.50884,99.33972,96.92428
,,14.863,94.51167,99.33851,96.92509
,,14.853,94.51454,99.33725,96.9259
,,14.843,94.51763,99.33589,96.92676
,,14.833,94.52059,99.33456,96.92757
,,14.823,94.52358,99.3332,96.92839
,,14.813,94.5268,99.33172,96.92926
,,14.803,94.52989,99.33029,96.93009
,,14.793,94.53301,99.32882,96.93091
,,14.783,94.53617,99.32731,96.93174
,,14.773,94.53956,99.32569,96.93262
,,14.763,94.54281,99.32411,96.93346
,,14.753,94.54609,99.3225,96.9343
,,14.743,94.54941,99.32086,96.93513
,,14.733,94.55298,99.31908,96.93603
,,14.723,94.55638,99.31736,96.93687
,,14.713,94.55983,99.31561,96.93772
,,14.703,94.56331,99.31383,96.93857
,,14.693,94.56683,99.31201,96.93942
,,14.683,94.5706,99.31005,96.94032
,,14.673,94.5742,99.30816,96.94118
,,14.663,94.57784,99.30623,96.94204
,,14.653,94.58152,99.30428,96.9429
,,14.643,94.58524,99.30229,96.94376
,,14.633,94.58899,99.30026,96.94463
,,14.623,94.59301,99.29808,96.94554
,,14.613,94.59684,99.29599,96.94641
,,14.603,94.60071,99.29386,96.94728
,,14.593,94.60461,99.2917,96.94816
,,14.583,94.60856,99.28951,96.94903
,,14.573,94.61254,99.28728,96.94991
,,14.563,94.61656,99.28502,96.95079
,,14.553,94.62061,99.28273,96.95167
,,14.543,94.6247,99.2804,96.95255
,,14.533,94.62883,99.27804,96.95343
,,14.523,94.63299,99.27565,96.95432
,,14.513,94.63719,99.27323,96.95521
,,14.503,94.64142,99.27077,96.9561
,,14.493,94.64569,99.26828,96.95699
,,14.483,94.64999,99.26576,96.95788
,,14.473,94.65433,99.26321,96.95877
,,14.463,94.65871,99.26062,96.95967
,,14.453,94.66312,99.25801,96.96056
,,14.443,94.66756,99.25536,96.96146
,,14.433,94.67204,99.25268,96.96236
,,14.423,94.67656,99.24996,96.96326
,,14.413,94.6811,99.24722,96.96416
,,14.403,94.68569,99.24444,96.96506
,,14.393,94.6903,99.24164,96.96597
,,14.383,94.69495,99.2388,96.96687
,,14.373,94.69963,99.23593,96.96778
,,14.363,94.70435,99.23303,96.96869
,,14.353,94.70909,99.2301,96.96959
,,14.343,94.71387,99.22713,96.9705
,,14.333,94.71869,99.22414,96.97141
,,14.323,94.72325,99.2213,96.97227
,,14.313,94.72812,99.21825,96.97318
,,14.303,94.73303,99.21516,96.9741
,,14.293,94.73797,99.21205,96.97501
,,14.283,94.74294,99.20891,96.97592
,,14.273,94.74794,99.20574,96.97684
,,14.263,94.75268,99.20272,96.9777
,,14.253,94.75774,99.19949,96.97862
,,14.243,94.76283,99.19624,96.97953
,,14.233,94.76796,99.19295,96.98045
,,14.223,94.77311,99.18963,96.98137
,,14.213,94.77799,99.18648,96.98223
,,14.203,94.7832,99.18311,96.98315
,,14.193,94.78844,99.1797,96.98407
,,14.183,94.79371,99.17627,96.98499
,,14.174,94.7987,99.17301,96.98586
,,14.163,94.80403,99.16953,96.98678
,,14.153,94.80938,99.16601,96.9877
,,14.143,94.81477,99.16247,96.98862
,,14.133,94.81986,99.1591,96.98948
,,14.123,94.8253,99.15551,96.9904
,,14.113,94.83077,99.15188,96.99132
,,14.104,94.83594,99.14844,96.99219
,,14.093,94.84146,99.14476,96.99311
,,14.083,94.84701,99.14105,96.99403
,,14.074,94.85225,99.13754,96.9949
,,14.063,94.85786,99.13378,96.99582
,,14.053,94.86348,99.12999,96.99674
,,14.044,94.8688,99.1264,96.9976
,,14.033,94.87448,99.12257,96.99852
,,14.023,94.88018,99.1187,96.99944
,,14.014,94.88558,99.11504,97.00031
,,14.003,94.89133,99.11112,97.00123
,,13.993,94.89711,99.10718,97.00214
,,13.983,94.90257,99.10344,97.00301
,,13.973,94.9084,99.09945,97.00392
,,13.964,94.9139,99.09567,97.00479
,,13.953,94.91978,99.09163,97.0057
,,13.944,94.92533,99.0878,97.00656
,,13.933,94.93125,99.08371,97.00748
,,13.923,94.93719,99.07959,97.00839
,,13.913,94.94281,99.07569,97.00925
,,13.903,94.9488,99.07153,97.01016
,,13.893,94.95445,99.06759,97.01102
,,13.883,94.96049,99.06337,97.01193
,,13.874,94.96619,99.05939,97.01279
,,13.863,94.97226,99.05513,97.0137
,,13.854,94.978,99.0511,97.01455
,,13.843,94.98412,99.04679,97.01546
,,13.834,94.9899,99.04272,97.01631
,,13.823,94.99606,99.03837,97.01721
,,13.813,95.00188,99.03425,97.01806
,,13.803,95.00808,99.02985,97.01896
,,13.793,95.01393,99.02569,97.01981
,,13.784,95.0198,99.02151,97.02066
,,13.773,95.02606,99.01705,97.02156
,,13.764,95.03197,99.01283,97.0224
,,13.753,95.03826,99.00832,97.02329
,,13.744,95.04421,99.00406,97.02414
,,13.733,95.05054,98.99951,97.02503
,,13.723,95.05652,98.99521,97.02587
,,13.714,95.06251,98.99089,97.0267
,,13.703,95.0689,98.98628,97.02759
,,13.694,95.07493,98.98192,97.02842
,,13.684,95.08097,98.97754,97.02925
,,13.673,95.08741,98.97287,97.03014
,,13.664,95.09348,98.96845,97.03097
,,13.653,95.09995,98.96374,97.03184
,,13.643,95.10606,98.95928,97.03267
,,13.634,95.11218,98.95481,97.03349
,,13.624,95.11831,98.95032,97.03431
,,13.613,95.12484,98.94553,97.03519
,,13.604,95.131,98.941,97.036
,,13.594,95.13718,98.93646,97.03682
,,13.583,95.14376,98.93161,97.03768
,,13.574,95.14996,98.92703,97.0385
