,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,13.793,98.33713,90.96557,94.65135
,,13.784,98.32681,90.98512,94.65597
,,13.773,98.3158,91.00596,94.66088
,,13.764,98.3054,91.02565,94.66552
,,13.753,98.2943,91.04664,94.67047
,,13.744,98.28381,91.06647,94.67514
,,13.733,98.27263,91.08761,94.68012
,,13.723,98.26206,91.10757,94.68481
,,13.714,98.25145,91.1276,94.68952
,,13.703,98.24014,91.14895,94.69454
,,13.694,98.22945,91.16911,94.69928
,,13.684,98.21873,91.18933,94.70403
,,13.673,98.20729,91.21088,94.70908
,,13.664,98.19649,91.23122,94.71385
,,13.653,98.18497,91.25291,94.71894
,,13.643,98.17409,91.27338,94.72373
,,13.634,98.16317,91.29391,94.72854
,,13.624,98.15222,91.31449,94.73336
,,13.613,98.14054,91.33643,94.73849
,,13.604,98.12952,91.35713,94.74333
,,13.594,98.11846,91.37789,94.74818
,,13.583,98.10667,91.40001,94.75334
,,13.574,98.09554,91.42089,94.75821
