,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,13.993,93.71565,99.60432,96.65998
,,13.983,93.72244,99.59952,96.66098
,,13.973,93.72969,99.59439,96.66204
,,13.964,93.73656,99.58953,96.66304
,,13.953,93.74389,99.58433,96.66411
,,13.944,93.75083,99.5794,96.66512
,,13.933,93.75824,99.57414,96.66619
,,13.923,93.7657,99.56884,96.66727
,,13.913,93.77275,99.56383,96.66829
,,13.903,93.78028,99.55846,96.66937
,,13.893,93.7874,99.55339,96.67039
,,13.883,93.79501,99.54796,96.67148
,,13.874,93.8022,99.54283,96.67251
,,13.863,93.80988,99.53734,96.67361
,,13.854,93.81715,99.53215,96.67465
,,13.843,93.8249,99.5266,96.67575
,,13.834,93.83223,99.52134,96.67679
,,13.823,93.84006,99.51573,96.6779
,,13.813,93.84746,99.51042,96.67894
,,13.803,93.85536,99.50475,96.68006
,,13.793,93.86283,99.49939,96.68111
,,13.784,93.87033,99.494,96.68216
,,13.773,93.87834,99.48824,96.68329
,,13.764,93.8859,99.48279,96.68435
,,13.753,93.89397,99.47697,96.68547
,,13.744,93.9016,99.47147,96.68654
,,13.733,93.90975,99.4656,96.68767
,,13.723,93.91744,99.46004,96.68874
,,13.714,93.92516,99.45446,96.68981
,,13.703,93.9334,99.44851,96.69095
,,13.694,93.94119,99.44287,96.69203
,,13.684,93.949,99.43722,96.69311
,,13.673,93.95733,99.43118,96.69426
,,13.664,93.96521,99.42547,96.69534
,,13.653,93.97361,99.41938,96.69649
,,13.643,93.98154,99.41362,96.69758
,,13.634,93.9895,99.40784,96.69867
,,13.624,93.99749,99.40203,96.69976
,,13.613,94.00601,99.39584,96.70092
,,13.604,94.01406,99.38998,96.70202
,,13.594,94.02213,99.3841,96.70312
,,13.583,94.03073,99.37783,96.70428
,,13.574,94.03886,99.37191,96.70539
